date,user,name,text,retweet,favorite,location
2021-08-14 23:01:45,DarrenEdmundso1,Pembrokeshire-Patriot,"Paris police patrol coffee shops to ask customers to prove they have valid vaccine passports, insane level of tyran… https://t.co/TRTPDPxwFh",0,0,Pembrokeshire 
2021-08-14 23:01:44,lizard817,Liz 🌊 🌊 🌊 🌊,@GovRonDeSantis If you won’t get the vaccine because it’s EUA this is EUA also. “The treatment should be given to p… https://t.co/6hiBOVQhzd,0,0,"Florida, USA"
2021-08-14 23:01:44,GreyCat45,R.B.,"@globeandmail They can by just 1 or 40M, either way the vaccines are useless- get the shots and you can still get t… https://t.co/IrqVqwTx5h",0,0,
2021-08-14 23:01:43,sandykaye38,Kaye Porter,'Vaccine passports' are here. Here's how to prove your Covid-19 vaccination status on your phone - CNN https://t.co/Wx2AmcOzzL,0,0,United States
2021-08-14 23:01:43,CosmoFaenyx,Arcadian Feypunk 🦓 (Fey/Fem),"@Mau1019 @my2centsay @DonaldMBraden Not to mention that no, not everyone can get the vaccine. Some disabled people,… https://t.co/kCnuU6Bm64",0,0,
2021-08-14 23:01:43,natashainoz,Natasha in Oz,Teachers in elite Sydney schools use private Pfizer hubs while teachers in Sydney’s worst affected areas have still… https://t.co/IViUajZ835,0,0,"Melbourne, Victoria"
2021-08-14 23:01:43,RIBeastie,RIBeastie,US border agents in Tennessee have seized thousands of counterfeit Covid-19 vaccination cards - CNN… https://t.co/PjJCJtmP20,0,0,Rhode Island
2021-08-14 23:01:42,FearlessR2W,Fearless R2W Circle of Support,All North End residents 12 &amp; up are invited to join us and FearlessR2W - Circle of Support for a Pop Up Vaccine Cli… https://t.co/JtphckYZtx,0,0,"The R2W, Winnipeg, MB"
2021-08-14 23:01:42,nadiadiiazzz,nadia,no bc how can one of ur parents die from covid &amp; you still don’t believe in the vaccine…,0,0,
2021-08-14 23:01:41,sanshandle2,sanshandle,"@BillSpata @MiniDOGEToken Can’t let it happen, it’s unconstitutional and would also be a criminal offence under the… https://t.co/szkiNXNllo",0,0,Sydney 
2021-08-14 23:01:41,wheeltheory,Cycling Scientist,@ASlavitt This seems to be the hardest point for the general public to understand. You don't become bulletproof onc… https://t.co/QcE3HNOV6U,0,0,"San Diego, CA"
2021-08-14 23:01:40,cnielse33225110,cnielsen,"@thebutterknife I do not know what is inside. Not in this vaccine, not in the meatball, not in cola, not in the ink… https://t.co/xttqHDmF7f",0,0,"Hovedstaden, Danmark"
2021-08-14 23:01:40,almalovedogs,alma,Deaths because of the vaccine https://t.co/RkUxrnHVwr,0,0,"Ontario, Canada"
2021-08-14 23:01:40,PodcastKevin,Kevin’s Podcast Show- Coming back soon?,"@LicentiousMaxi1 @jordanbpeterson My individual freedom ends where yours begins, &amp; vice versa. Requiring vaccine fo… https://t.co/ui3BJpuQEb",0,0,"Tennessee, USA"
2021-08-14 23:01:40,fye_randy,Randy Fye,"@stevenjfrisch @AlanBayer2 @thehill First of all we are not a fully democratic country. So tell me, when was the la… https://t.co/pL9N30AU7F",0,0,
2021-08-14 23:01:40,1AmericanBob,American Bob,@babs01902 @Achies_store 😥 it’s not going away jackass! We are all going to get it. Vaccine or not! No fear here,0,0,
2021-08-14 23:01:40,LG500R,LG,@TucsonRomero can I get a vaccine vial to analyze in a private laboratory? https://t.co/VqTxYjTWGT,0,0,
2021-08-14 23:01:39,gobrowns1,Pessimistic Optimist,"@StopTheCriminal @HelenG63105 Can anyone post what’s in Monster Energy Drinks?  I’m too lazy to look it up, and tha… https://t.co/pEiOVLhv2m",0,0,"Ohio, USA"
2021-08-14 23:01:36,Jacquitac,Jacquita,"Aren't people aware of their rights under the Nuremberg Code?
https://t.co/ynx9Je7hpb",0,0,Anywhere and everywhere
